,free_time,free_discharge,dd_time,dd_discharge,secs_elapsed,outlier
1,2015-08-04 06:30:00,370.0,2015-08-05 03:30:00,9.36,75600.0,False
2,2015-08-10 10:30:00,82.7,2015-08-11 11:30:00,8.06,90000.0,False
3,2015-08-28 02:30:00,82.7,2015-08-29 14:15:00,7.91,128700.00000000001,False
4,2015-08-30 16:30:00,99.4,2015-08-30 20:30:00,8.7,14400.0,False
5,2015-08-31 20:45:00,111.0,2015-09-01 14:45:00,8.89,64800.00000000001,False
6,2015-09-02 05:45:00,840.0,2015-09-03 01:00:00,9.87,69300.0,False
7,2015-09-03 09:45:00,74.8,2015-09-04 08:00:00,8.1,80100.0,False
8,2015-09-16 14:30:00,55.3,2015-09-17 16:30:00,7.77,93600.0,False
9,2015-10-05 13:30:00,415.0,2015-10-05 16:30:00,10.63,10800.0,False
10,2015-10-05 16:30:00,213.0,2015-10-06 08:45:00,9.38,58500.00000000001,False
11,2015-10-19 01:00:00,707.0,2015-10-19 06:15:00,13.06,18900.0,False
12,2015-10-20 04:30:00,1130.0,2015-10-21 06:30:00,12.38,93600.0,False
13,2015-10-21 21:00:00,1140.0,2015-10-22 17:15:00,12.47,72900.0,False
14,2015-10-23 05:00:00,596.0,2015-10-23 21:15:00,10.32,58500.00000000001,False
15,2015-10-24 08:00:00,124.0,2015-10-24 23:45:00,8.85,56700.0,False
16,2016-04-29 20:30:00,382.0,2016-04-30 15:45:00,9.58,69300.0,False
17,2016-05-19 10:15:00,74.8,2016-05-20 10:00:00,8.06,85500.0,False
18,2016-06-03 09:45:00,23.7,2016-06-04 18:00:00,7.37,116100.0,False
19,2016-06-04 06:15:00,21.3,2016-06-05 15:45:00,7.38,120600.00000000001,False
20,2016-06-15 09:00:00,54.2,2016-06-16 12:15:00,7.79,98100.0,False
21,2016-06-16 04:15:00,60.0,2016-06-17 11:00:00,7.83,110700.0,False
22,2016-06-17 07:45:00,48.6,2016-06-18 10:30:00,7.8,96300.0,False
23,2016-06-18 04:00:00,37.2,2016-06-19 11:45:00,7.72,114300.0,False
24,2016-06-19 10:00:00,28.9,2016-06-20 12:45:00,7.77,96300.0,False
25,2016-06-20 18:30:00,19.0,2016-06-21 12:30:00,7.38,64800.00000000001,False
26,2016-07-01 19:00:00,690.0,2016-07-02 17:30:00,9.3,81000.0,False
27,2016-07-02 17:15:00,120.0,2016-07-03 17:15:00,8.14,86400.0,False
28,2016-07-03 17:00:00,671.0,2016-07-04 15:15:00,10.03,80100.0,False
29,2016-07-06 10:30:00,32.5,2016-07-07 12:00:00,7.78,91800.0,False
